party_id,country_name_short_from_elections,country_name_from_elections,election_type,election_date,vote_share,seats,seats_total,party_name_short_from_elections,party_name_from_elections,party_name_english_from_elections,left_right_from_elections,country_id_from_elections,election_id,previous_parliament_election_id,previous_cabinet_id,vote_share_max,vote_share_median,vote_share_mean,country_name_short_from_parties,country_name_from_parties,party_name_short_from_parties,party_name_english_from_parties,party_name_from_parties,party_name_ascii,family_name_short,family_name,left_right_from_parties,state_market,liberty_authority,eu_anti_pro,cmp,euprofiler,ees,castles_mair,huber_inglehart,ray,benoit_laver,chess,country_id_from_parties,family_id,election_year,election_decade,election_half_decade
440,CZE,Czech Republic,parliament,1990-06-09,,4.0,200,KDS,Krestanskodemokraticka strana,Christian Democratic Party,8.1444,68,63,,,,,,CZE,Czech Republic,KDS,Christian Democratic Party,Krestanskodemokraticka strana,Krestanskodemokraticka strana,chr,Christian democracy,8.1444,5.7,7.1,8.3,82521.0,,,,1008.0,,,,68.0,3.0,1990,1990,1990
829,CZE,Czech Republic,parliament,1992-06-06,29.73,66.0,200,ODS,ObÄanskÃ¡ demokratickÃ¡ strana,Civic Democratic Party,7.3637,68,39,63.0,262.0,35.38,26.104999999999997,23.275,CZE,Czech Republic,ODS,Civic Democratic Party,ObÄanskÃ¡ demokratickÃ¡ strana,Obcanska demokraticka strana,con,Conservative,7.3637,7.8985,4.0087,4.456,82413.0,59.0,1203413.0,,1005.0,,1458.0,2102.0,68.0,26.0,1992,1990,1990
1173,CZE,Czech Republic,parliament,1992-06-06,14.05,35.0,200,KSCM,KomunistickÃ¡ strana Cech a Moravy,Communist Party of Bohemia and Moravia,0.7498,68,39,63.0,262.0,18.51,12.04,12.58375,CZE,Czech Republic,KSCM,Communist Party of Bohemia and Moravia,KomunistickÃ¡ strana Cech a Moravy,Komunisticka strana Cech a Moravy,com,Communist/Socialist,0.7498,1.2243,6.4265,2.4656,82220.0,57.0,1203220.0,,1001.0,,1380.0,2103.0,68.0,14.0,1992,1990,1990
1218,CZE,Czech Republic,parliament,1992-06-06,6.52,16.0,200,LSU,LiberÃ¡lnÄ› sociÃ¡lnÃ­ unie,Liberal Social Union,2.9667,68,39,63.0,262.0,6.52,6.52,6.52,CZE,Czech Republic,LSU,Liberal Social Union,LiberÃ¡lnÄ› sociÃ¡lnÃ­ unie,Liberalne socialni unie,lib,Liberal,2.9667,6.7,3.6,8.7,82420.0,,,,1003.0,,,,68.0,6.0,1992,1990,1990
789,CZE,Czech Republic,parliament,1992-06-06,6.53,16.0,200,CSSD,ÄŒeskÃ¡ strana sociÃ¡lnÄ› demokratickÃ¡,Czech Social Democratic Party,3.0463,68,39,63.0,262.0,32.32,24.259999999999998,22.200000000000003,CZE,Czech Republic,CSSD,Czech Social Democratic Party,ÄŒeskÃ¡ strana sociÃ¡lnÄ› demokratickÃ¡,Ceska strana socialne demokraticka,soc,Social democracy,3.0463,3.0031,4.2463,8.5647,82320.0,55.0,1203320.0,,1002.0,,1328.0,2101.0,68.0,11.0,1992,1990,1990
1123,CZE,Czech Republic,parliament,1992-06-06,5.93,14.0,200,ODA,ObÄanskÃ¡ demokratickÃ¡ aliance,Civic Democratic Alliance,7.1111,68,39,63.0,262.0,6.36,6.145,6.145,CZE,Czech Republic,ODA,Civic Democratic Alliance,ObÄanskÃ¡ demokratickÃ¡ aliance,Obcanska demokraticka aliance,lib,Liberal,7.1111,6.7,3.6,8.7,82412.0,,,,1006.0,,,,68.0,6.0,1992,1990,1990
872,CZE,Czech Republic,parliament,1992-06-06,5.98,14.0,200,SPR-RSC,SdruzenÃ­ pro republiku â€“ RepublikÃ¡nskÃ¡ strana Ceskoslovenska,Rally for the Republic -- Republican Party of Czechoslovakia,9.7778,68,39,63.0,262.0,8.01,6.995,6.995,CZE,Czech Republic,SPR-RSC,Rally for the Republic -- Republican Party of Czechoslovakia,SdruzenÃ­ pro republiku â€“ RepublikÃ¡nskÃ¡ strana Ceskoslovenska,Sdruzeni pro republiku -- Republikanska strana Ceskoslovenska,right,Right-wing,9.7778,5.9,8.5,2.3,82710.0,,,,1009.0,,,,68.0,40.0,1992,1990,1990
688,CZE,Czech Republic,parliament,1998-06-20,8.6,19.0,200,US,Unie svobody ,Freedom Union,7.2204,68,27,301.0,76.0,8.6,8.6,8.6,CZE,Czech Republic,US,Freedom Union,Unie svobody ,Unie svobody,lib,Liberal,7.2204,7.5343,2.3792,9.4344,82421.0,62.0,,,,,1586.0,2105.0,68.0,6.0,1998,1990,1995
196,CZE,Czech Republic,parliament,2006-06-03,6.29,6.0,200,SZ,Strana zelenÃ½ch,Green Party,4.123,68,50,487.0,15.0,6.29,6.29,6.29,CZE,Czech Republic,SZ,Green Party,Strana zelenÃ½ch,Strana zelenych,eco,Green/Ecologist,4.123,3.8917,1.8596,7.8505,,61.0,1203110.0,,,,1536.0,2107.0,68.0,19.0,2006,2000,2005
2,CZE,Czech Republic,parliament,2010-05-29,16.7,38.0,200,TOP09,Tradice OdpovÄ›dnost Prosperita 09,Tradition Responsibility Prosperity 09,7.4,68,599,50.0,157.0,16.7,11.99,11.333333333333334,CZE,Czech Republic,TOP09,Tradition Responsibility Prosperity 09,Tradice OdpovÄ›dnost Prosperita 09,Tradice Odpovednost Prosperita 09,con,Conservative,7.4,6.4,7.0,7.9,,,,,,,,2109.0,68.0,26.0,2010,2010,2010
336,CZE,Czech Republic,parliament,2010-05-29,10.88,24.0,200,VV,VÄ›ci veÅ™ejnÃ©,Public Affairs,6.0,68,599,50.0,157.0,10.88,10.88,10.88,CZE,Czech Republic,VV,Public Affairs,VÄ›ci veÅ™ejnÃ©,Veci verejne,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,2110.0,68.0,6.0,2010,2010,2010
2024,CZE,Czech Republic,parliament,2010-05-29,,3.0,200,STAN,StarostovÃ© a nezÃ¡vislÃ­,Mayors and Independents,,68,599,50.0,157.0,5.18,5.18,5.18,CZE,Czech Republic,STAN,Mayors and Independents,StarostovÃ© a nezÃ¡vislÃ­,Starostove a nezavisli,spec,Special issue,,,,,,,,,,,,,68.0,16.0,2010,2010,2010
2263,CZE,Czech Republic,parliament,2013-10-25,18.65,47.0,200,ANO,Akce nespokojenÃ½ch obÄanÅ¯,Action of Dissatisfied Citizens,6.0,68,805,599.0,1062.0,29.64,24.145,24.145,CZE,Czech Republic,ANO,Action of Dissatisfied Citizens,Akce nespokojenÃ½ch obÄanÅ¯,Akce nespokojenych obcanu,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,68.0,6.0,2013,2010,2010
2262,CZE,Czech Republic,parliament,2013-10-25,6.88,14.0,200,UPD,Ãšsvit pÅ™Ã­mÃ© demokracie,Dawn of Direct Democracy,7.4,68,805,599.0,1062.0,6.88,6.88,6.88,CZE,Czech Republic,UPD,Dawn of Direct Democracy,Ãšsvit pÅ™Ã­mÃ© demokracie,Usvit prime demokracie,con,Conservative,7.4,6.4,7.0,7.9,,,,,,,,,68.0,26.0,2013,2010,2010
2261,CZE,Czech Republic,parliament,2017-10-21,10.79,22.0,200,Pi,Ceska piratska strana,Czech Pirate Party,,68,1020,805.0,1072.0,10.79,10.79,10.79,CZE,Czech Republic,Pi,Czech Pirate Party,Ceska piratska strana,Ceska piratska strana,spec,Special issue,,,,,,,,,,,,,68.0,16.0,2017,2010,2015
2654,CZE,Czech Republic,parliament,2017-10-21,10.64,22.0,200,SPD,Svoboda a pÅ™Ã­mÃ¡ demokracie Tomio Okamura,Freedom and Direct Democracy Tomio Okamura,8.7,68,1020,805.0,1072.0,10.64,10.64,10.64,CZE,Czech Republic,SPD,Freedom and Direct Democracy Tomio Okamura,Svoboda a pÅ™Ã­mÃ¡ demokracie Tomio Okamura,Svoboda a prima demokracie Tomio Okamura,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,68.0,40.0,2017,2010,2015
558,DEU,Germany,parliament,1949-08-14,29.2,131.0,402,SPD,Sozialdemokratische Partei Deutschlands,Social Democratic Party of Germany,3.6451,54,581,,,45.8,36.4,35.126315789473686,DEU,Germany,SPD,Social Democratic Party of Germany,Sozialdemokratische Partei Deutschlands,Sozialdemokratische Partei Deutschlands,soc,Social democracy,3.6451,3.8443,3.9791,7.9318,41320.0,120.0,1276320.0,803.0,1503.0,302.0,6087.0,302.0,54.0,11.0,1949,1940,1945
808,DEU,Germany,parliament,1949-08-14,25.2,115.0,402,CDU,Christlich Demokratische Union,Christian Democratic Union,6.2503,54,581,,,39.7,34.5,33.52105263157895,DEU,Germany,CDU,Christian Democratic Union,Christlich Demokratische Union,Christlich Demokratische Union,chr,Christian democracy,6.2503,6.3498,6.9333,8.5024,41521.0,116.0,1276521.0,805.0,1505.0,301.0,5943.0,301.0,54.0,3.0,1949,1940,1945
543,DEU,Germany,parliament,1949-08-14,11.9,52.0,402,FDP,Freie Demokratische Partei,Free Democratic Party,5.9233,54,581,,,14.6,9.3,9.27222222222222,DEU,Germany,FDP,Free Democratic Party,Freie Demokratische Partei,Freie Demokratische Partei,lib,Liberal,5.9233,8.2173,3.0695,8.4855,41420.0,119.0,1276420.0,804.0,1504.0,303.0,5997.0,303.0,54.0,6.0,1949,1940,1945
1180,DEU,Germany,parliament,1949-08-14,5.8,24.0,402,CSU,Christlich Soziale Union,Christian Social Union,7.2871,54,581,,,10.6,9.0,8.547368421052632,DEU,Germany,CSU,Christian Social Union,Christlich Soziale Union,Christlich Soziale Union,chr,Christian democracy,7.2871,6.5615,7.8675,6.667999999999999,41521.0,117.0,1276521.0,806.0,1506.0,309.0,5943.0,308.0,54.0,3.0,1949,1940,1945
912,DEU,Germany,parliament,1949-08-14,4.0,17.0,402,DP,Deutsche Partei,German Party,7.4,54,581,,,4.0,3.4,3.5666666666666664,DEU,Germany,DP,German Party,Deutsche Partei,Deutsche Partei,con,Conservative,7.4,6.4,7.0,7.9,41620.0,,,,,,,,54.0,26.0,1949,1940,1945
1131,DEU,Germany,parliament,1949-08-14,4.2,17.0,402,BP,Bayernpartei,Bavarian Party,7.4,54,581,,,4.2,4.2,4.2,DEU,Germany,BP,Bavarian Party,Bayernpartei,Bayernpartei,con,Conservative,7.4,6.4,7.0,7.9,41911.0,,,,,,,,54.0,26.0,1949,1940,1945
649,DEU,Germany,parliament,1949-08-14,5.7,15.0,402,KPD,Kommunistische Partei Deutschlands,Communist Party of Germany,0.9570000000000001,54,581,,,5.7,5.7,5.7,DEU,Germany,KPD,Communist Party of Germany,Kommunistische Partei Deutschlands,Kommunistische Partei Deutschlands,com,Communist/Socialist,0.9570000000000001,0.3618,2.6754,1.9649,41220.0,,,801.0,,308.0,5961.0,,54.0,14.0,1949,1940,1945
1420,DEU,Germany,parliament,1949-08-14,2.9,12.0,402,WAV,Wirtschaftliche Aufbauvereinigung,Economic Reconstruction League,8.7,54,581,,,2.9,2.9,2.9,DEU,Germany,WAV,Economic Reconstruction League,Wirtschaftliche Aufbauvereinigung,Wirtschaftliche Aufbauvereinigung,right,Right-wing,8.8,5.9,8.5,2.3,41711.0,,,,,,,,54.0,40.0,1949,1940,1945
137,DEU,Germany,parliament,1949-08-14,3.1,10.0,402,DZ,Deutsche Zentrumspartei,Centre Party,6.2,54,581,,,3.1,1.9500000000000002,1.9500000000000002,DEU,Germany,DZ,Centre Party,Deutsche Zentrumspartei,Deutsche Zentrumspartei,chr,Christian democracy,6.2,5.7,7.1,8.3,41522.0,,,,,,,,54.0,3.0,1949,1940,1945
187,DEU,Germany,parliament,1949-08-14,1.8,5.0,402,DRP,Deutsche Reichspartei,German Reich Party,8.7,54,581,,,1.8,1.8,1.8,DEU,Germany,DRP,German Reich Party,Deutsche Reichspartei,Deutsche Reichspartei,right,Right-wing,8.8,5.9,8.5,2.3,41712.0,,,,,,,,54.0,40.0,1949,1940,1945
1507,DEU,Germany,parliament,1953-09-06,5.9,27.0,487,GB/BHE,Gesamtdeutscher Block / Bund der Heimatvertriebenen und Entrechteten,All-German Bloc / League of Expellees and Deprived of Rights,8.7,54,103,581.0,147.0,5.9,5.9,5.9,DEU,Germany,GB/BHE,All-German Bloc / League of Expellees and Deprived of Rights,Gesamtdeutscher Block / Bund der Heimatvertriebenen und Entrechteten,Gesamtdeutscher Block / Bund der Heimatvertriebenen und Entrechteten,right,Right-wing,8.8,5.9,8.5,2.3,41951.0,,,,,,,,54.0,40.0,1953,1950,1950
772,DEU,Germany,parliament,1983-03-06,5.6,27.0,498,B90/Gru,BÃ¼ndnis 90 / Die GrÃ¼nen,Alliance 90 / Greens,2.9308,54,484,547.0,642.0,10.7,8.3,8.066666666666666,DEU,Germany,B90/Gru,Alliance 90 / Greens,BÃ¼ndnis 90 / Die GrÃ¼nen,Buendnis 90 / Die Gruenen,eco,Green/Ecologist,2.9308,4.3268,1.3251,7.6101,41113.0,115.0,1276113.0,802.0,1502.0,305.0,6015.0,304.0,54.0,19.0,1983,1980,1980
791,DEU,Germany,parliament,1990-12-02,2.4,17.0,662,Li/PDS,Die Linke / PDS,The Left / PDS,1.2152,54,445,588.0,286.0,11.9,6.85,6.7875,DEU,Germany,PDS|Li,PDS | The Left,PDS | Die Linke,PDS | Die Linke,com,Communist/Socialist,1.2152,1.0617,3.205,4.3508,41221.0,,,,1501.0,307.0,6051.0,306.0,54.0,14.0,1990,1990,1990
255,DEU,Germany,parliament,1990-12-02,1.2,8.0,662,B90/Gr,BÃ¼ndnis 90 / GrÃ¼ne â€“ BÃ¼rgerInnenbewegung,Alliance 90 / Greens -- Citizens' Movement,2.5,54,445,588.0,286.0,1.2,1.2,1.2,DEU,Germany,B90/Gr,Alliance 90 / Greens -- Citizens' Movement,BÃ¼ndnis 90 / GrÃ¼ne â€“ BÃ¼rgerInnenbewegung,Buendnis 90 / Gruene -- BuergerInnenbewegung,eco,Green/Ecologist,2.5,2.5,1.8,6.5,41112.0,,,,,,,,54.0,19.0,1990,1990,1990
2253,DEU,Germany,parliament,2017-09-24,12.6,94.0,709,AfD,Alternative fÃ¼r Deutschland,Alternative for Germany,8.7,54,1016,800.0,1071.0,12.6,12.6,12.6,DEU,Germany,AfD,Alternative for Germany,Alternative fÃ¼r Deutschland,Alternative fuer Deutschland,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,54.0,40.0,2017,2010,2015
1605,DNK,Denmark,parliament,1901-04-03,42.87,76.0,114,V,Venstre,Liberal Party,7.292000000000001,21,886,,,47.14,23.34,23.69090909090909,DNK,Denmark,V,Liberal Party,Venstre,Venstre,lib,Liberal,7.292000000000001,7.3696,4.9957,9.0268,13420.0,65.0,1208420.0,508.0,1108.0,212.0,5639.0,211.0,21.0,6.0,1901,1900,1900
2430,DNK,Denmark,parliament,1901-04-03,11.4,16.0,114,MV,Moderate Venstre,Moderate Liberals ,6.0,21,886,,,11.4,7.395,8.0225,DNK,Denmark,MV,Moderate Liberals ,Moderate Venstre,Moderate Venstre,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,21.0,6.0,1901,1900,1900
1629,DNK,Denmark,parliament,1901-04-03,17.06,14.0,114,Sd,Socialdemokraterne,Social Democrats,3.8011,21,886,,,46.1,33.5,33.66022727272727,DNK,Denmark,Sd,Social Democrats,Socialdemokraterne,Socialdemokraterne,soc,Social democracy,3.8011,3.5292,4.2722,7.4311,13320.0,64.0,1208320.0,504.0,1103.0,201.0,5603.0,201.0,21.0,11.0,1901,1900,1900
590,DNK,Denmark,parliament,1901-04-03,24.04,8.0,114,KF,Konservative,Conservatives,7.2186,21,886,,,24.04,17.85,16.2925,DNK,Denmark,KF,Conservatives,Konservative,Konservative,con,Conservative,7.2186,7.2931,6.5055,7.7791,13620.0,66.0,1208620.0,509.0,1107.0,203.0,5549.0,203.0,21.0,26.0,1901,1900,1900
211,DNK,Denmark,parliament,1906-05-29,12.6,9.0,114,RV,Det Radikale Venstre,Danish Social Liberal Party,4.8736,21,888,887.0,1364.0,20.7,8.399999999999999,9.135238095238098,DNK,Denmark,RV,Danish Social Liberal Party,Det Radikale Venstre,Det Radikale Venstre,lib,Liberal,4.8736,5.318,2.3903,7.8594,13410.0,68.0,1208410.0,505.0,1104.0,202.0,5585.0,202.0,21.0,6.0,1906,1900,1905
2429,DNK,Denmark,parliament,1918-04-22,1.3,1.0,139,EP,Erhvervspartiet,Industry Party ,6.0,21,892,999.0,1252.0,2.9,2.495,2.2975000000000003,DNK,Denmark,EP,Industry Party ,Erhvervspartiet,Erhvervspartiet,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,21.0,6.0,1918,1910,1915
812,DNK,Denmark,parliament,1920-09-21,0.6,1.0,148,SP,Slesvigsk Parti,Schleswig Party,,21,894,1000.0,1249.0,0.8,0.6,0.6000000000000001,DNK,Denmark,SP,Schleswig Party,Slesvigsk Parti,Slesvigsk Parti,spec,Special issue,,,,,,,,,,,,,21.0,16.0,1920,1920,1920
1606,DNK,Denmark,parliament,1926-12-02,1.3,2.0,148,RF,Retsforbund,Justice Party,6.0,21,896,895.0,1246.0,8.2,2.7,3.311333333333333,DNK,Denmark,RF,Justice Party,Retsforbund,Retsforbund,lib,Liberal,6.0,6.7,3.6,0.2333,13952.0,,,,,205.0,,,21.0,6.0,1926,1920,1925
1239,DNK,Denmark,parliament,1932-11-16,1.1,2.0,148,DKP,Danmarks Kommunistiske Parti,Communist Party of Denmark,1.0,21,898,897.0,1244.0,12.5,3.95,4.416666666666667,DNK,Denmark,DKP,Communist Party of Denmark,Danmarks Kommunistiske Parti,Danmarks Kommunistiske Parti,com,Communist/Socialist,1.0,1.4,3.0,0.4167,13220.0,,,502.0,,209.0,,,21.0,14.0,1932,1930,1930
2428,DNK,Denmark,parliament,1935-10-22,3.2,5.0,148,Bo,Bondepartiet,Farmers' Party ,5.3,21,899,898.0,1243.0,3.2,3.0,2.466666666666667,DNK,Denmark,Bo,Farmers' Party ,Bondepartiet,Bondepartiet,agr,Agrarian,5.3,4.9,6.5,5.4,,,,,,,,,21.0,2.0,1935,1930,1935
2432,DNK,Denmark,parliament,1939-04-03,1.8,3.0,148,DNSAP,Danmarks Nationalsocialistiske Arbejderparti,National Socialist Workers' Party of Denmark,8.7,21,900,899.0,1242.0,2.1,1.9500000000000002,1.9500000000000002,DNK,Denmark,DNSAP,National Socialist Workers' Party of Denmark,Danmarks Nationalsocialistiske Arbejderparti,Danmarks Nationalsocialistiske Arbejderparti,right,Right-wing,8.8,5.9,8.5,2.3,,,,,,,,,21.0,40.0,1939,1930,1935
412,DNK,Denmark,parliament,1939-04-03,0.5,1.0,148,DS,Dansk Samling,Danish Union,8.7,21,900,899.0,1242.0,3.1,2.2,1.9333333333333336,DNK,Denmark,DS,Danish Union,Dansk Samling,Dansk Samling,right,Right-wing,8.8,5.9,8.5,2.3,13953.0,,,,,,,,21.0,40.0,1939,1930,1935
1634,DNK,Denmark,parliament,1945-10-30,,1.0,149,GrFa,GrÃ¸nland og FÃ¦rÃ¸erne,Greenland and Faroe Islands,,21,121,901.0,10.0,,,,DNK,Denmark,GrFa,Greenland and Faroe Islands,GrÃ¸nland og FÃ¦rÃ¸erne,Gronland og Faeroerne,none,no family,,,,,,,,,,,,,21.0,12.0,1945,1940,1945
1644,DNK,Denmark,parliament,1960-11-15,6.1,11.0,179,SF,Socialistisk Folkeparti,Socialist Peoples Party,2.1347,21,73,263.0,467.0,14.6,7.3,8.141904761904762,DNK,Denmark,SF,Socialist Peoples Party,Socialistisk Folkeparti,Socialistisk Folkeparti,eco,Green/Ecologist,2.1347,2.1035,2.1476,3.5917,13230.0,70.0,1208230.0,503.0,1102.0,206.0,5621.0,206.0,21.0,19.0,1960,1960,1960
538,DNK,Denmark,parliament,1960-11-15,3.3,6.0,179,DU,De UafhÃ¦ngige,Independents Party,6.0,21,73,263.0,467.0,3.3,2.9,2.9,DNK,Denmark,DU,Independents Party,De UafhÃ¦ngige,De Uafhaengige,lib,Liberal,6.0,6.7,3.6,8.7,13421.0,,,,,,,,21.0,6.0,1960,1960,1960
1478,DNK,Denmark,parliament,1966-11-22,2.5,4.0,179,LC,Liberalt Centrum,Liberal Centre,6.0,21,97,288.0,660.0,2.5,2.5,2.5,DNK,Denmark,LC,Liberal Centre,Liberalt Centrum,Liberalt Centrum,lib,Liberal,6.0,6.7,3.6,8.7,13422.0,,,,,,,,21.0,6.0,1966,1960,1965
189,DNK,Denmark,parliament,1968-01-23,2.0,4.0,179,VS,Venstresocialisterne,Left Socialists,0.8,21,531,97.0,825.0,3.7,2.6500000000000004,2.6333333333333333,DNK,Denmark,VS,Left Socialists,Venstresocialisterne,Venstresocialisterne,com,Communist/Socialist,0.8,1.4,3.0,0.7333,13210.0,,,501.0,,215.0,,,21.0,14.0,1968,1960,1965
978,DNK,Denmark,parliament,1973-12-04,15.9,27.0,179,FrP,Fremskridtspartiet,Progress Party,9.0259,21,64,400.0,320.0,15.9,8.9,8.781818181818183,DNK,Denmark,FrP,Progress Party,Fremskridtspartiet,Fremskridtspartiet,lib,Liberal,9.0259,8.8396,6.6509,1.4475,13951.0,,,510.0,1109.0,213.0,5531.0,212.0,21.0,6.0,1973,1970,1970
1324,DNK,Denmark,parliament,1973-12-04,7.8,13.0,179,CD,Centrumdemokraterne,Centre Democrats,5.5609,21,64,400.0,320.0,8.3,4.7,4.927272727272727,DNK,Denmark,CD,Centre Democrats,Centrumdemokraterne,Centrumdemokraterne,con,Conservative,5.5609,4.8029,4.9307,9.1468,13330.0,,,506.0,1105.0,204.0,5477.0,204.0,21.0,26.0,1973,1970,1970
1331,DNK,Denmark,parliament,1973-12-04,4.0,7.0,179,KrF,Kristeligt Folkeparti,Christian People's Party,5.6982,21,64,400.0,320.0,5.3,2.5,2.890909090909091,DNK,Denmark,KrF,Christian People's Party,Kristeligt Folkeparti,Kristeligt Folkeparti,chr,Christian democracy,5.6982,5.0887,7.0474,5.8301,13520.0,,,507.0,1106.0,211.0,5567.0,210.0,21.0,3.0,1973,1970,1970
2575,DNK,Denmark,parliament,1984-01-10,,1.0,179,At,Atassut,Solidarity (Greenland),6.0,21,597,179.0,819.0,,,,DNK,Denmark,At,Solidarity (Greenland),Atassut,Atassut,lib,Liberal,6.0,6.7,3.6,8.7,,,,,,,,,21.0,6.0,1984,1980,1980
74,DNK,Denmark,parliament,1984-01-10,,1.0,179,Si,Siumut,Forward (Greenland),3.3,21,597,179.0,819.0,0.22,0.22,0.22,DNK,Denmark,Si,Forward (Greenland),Siumut,Siumut,soc,Social democracy,3.3,3.5,3.5,8.1,,,,,,,,,21.0,11.0,1984,1980,1980
2574,DNK,Denmark,parliament,1984-01-10,,1.0,179,FF,Hin fÃ¸royski fÃ³lkaflokkurin â€“ radikalt sjÃ¡lvstÃ½ri,People's Party (Faroe Islands),7.4,21,597,179.0,819.0,,,,DNK,Denmark,FF,People's Party (Faroe Islands),Hin fÃ¸royski fÃ³lkaflokkurin â€“ radikalt sjÃ¡lvstÃ½ri,Hin foroyski folkaflokkurin -- radikalt sjalvstyri,con,Conservative,7.4,6.4,7.0,7.9,,,,,,,,,21.0,26.0,1984,1980,1980
1892,DNK,Denmark,parliament,1984-01-10,,1.0,179,Sbf,Sambandsflokkurin,Union Party (Faroe Islands),7.4,21,597,179.0,819.0,,,,DNK,Denmark,Sbf,Union Party (Faroe Islands),Sambandsflokkurin,Sambandsflokkurin,con,Conservative,7.4,6.4,7.0,7.9,,,,,,,,,21.0,26.0,1984,1980,1980
367,DNK,Denmark,parliament,1987-09-08,2.2,4.0,179,FK,FÃ¦lles Kurs,Common Course,1.2,21,226,597.0,195.0,2.2,2.2,2.2,DNK,Denmark,FK,Common Course,FÃ¦lles Kurs,Faelles Kurs,com,Communist/Socialist,1.3,1.4,3.0,3.3,13221.0,,,,,210.0,,,21.0,14.0,1987,1980,1985
1894,DNK,Denmark,parliament,1987-09-08,,1.0,179,Jf,JavnaÃ°arflokkurin,Social Democratic Party (Faroe Islands),3.3,21,226,597.0,195.0,0.16,0.16,0.16,DNK,Denmark,Jf,Social Democratic Party (Faroe Islands),JavnaÃ°arflokkurin,Javnadarflokkurin,soc,Social democracy,3.3,3.5,3.5,8.1,,,,,,,,,21.0,11.0,1987,1980,1985
306,DNK,Denmark,parliament,1994-09-21,3.1,6.0,179,En-O,Enhedslisten â€“ De RÃ¸d-GrÃ¸nne,Red-Green Alliance,0.8912,21,89,157.0,740.0,7.62,3.1,4.002857142857143,DNK,Denmark,En-O,Red-Green Alliance,Enhedslisten â€“ De RÃ¸d-GrÃ¸nne,Enhedslisten -- De Rod-Gronne,com,Communist/Socialist,0.8912,1.2012,1.7524,0.9971,13229.0,,,,,214.0,5513.0,213.0,21.0,14.0,1994,1990,1990
2576,DNK,Denmark,parliament,1994-09-21,,1.0,179,etc,others,others,,21,89,157.0,740.0,,,,DNK,Denmark,etc,others,others,others,none,no family,,,,,,,,,,,,,21.0,12.0,1994,1990,1990
1418,DNK,Denmark,parliament,1998-03-11,7.4,13.0,179,DF,Dansk Folkeparti,Danish Peoples Party,8.2269,21,389,89.0,255.0,20.58,12.850000000000001,13.291666666666666,DNK,Denmark,DF,Danish Peoples Party,Dansk Folkeparti,Dansk Folkeparti,right,Right-wing,8.2269,5.7081,7.8954,1.183,13720.0,69.0,1208720.0,,,,5495.0,215.0,21.0,40.0,1998,1990,1995
1891,DNK,Denmark,parliament,2001-11-20,,1.0,179,IA,Inuit Ataqatigiit,Community of the People,1.2,21,632,389.0,630.0,0.22,0.22,0.22,DNK,Denmark,IA,Community of the People,Inuit Ataqatigiit,Inuit Ataqatigiit,com,Communist/Socialist,1.3,1.4,3.0,3.3,,,,,,,,,21.0,14.0,2001,2000,2000
2568,DNK,Denmark,parliament,2001-11-20,,1.0,179,T,TjÃ³Ã°veldi,Republic (Faroe Islands),1.2,21,632,389.0,630.0,0.16,0.16,0.16,DNK,Denmark,T,Republic (Faroe Islands),TjÃ³Ã°veldi,Tjodveldi,com,Communist/Socialist,1.3,1.4,3.0,3.3,,,,,,,,,21.0,14.0,2001,2000,2000
376,DNK,Denmark,parliament,2007-11-13,2.8,5.0,179,NLA,Ny-Liberal Alliance,New-Liberal Alliance,6.0,21,174,563.0,316.0,7.36,4.92,5.026666666666666,DNK,Denmark,NLA,New-Liberal Alliance,Ny-Liberal Alliance,Ny-Liberal Alliance,lib,Liberal,6.0,6.7,3.6,8.7,,72.0,1208421.0,,,,,218.0,21.0,6.0,2007,2000,2005
2567,DNK,Denmark,parliament,2015-06-18,4.68,9.0,179,A,Alternativet,The Alternative,2.5,21,976,722.0,1074.0,4.68,4.68,4.68,DNK,Denmark,A,The Alternative,Alternativet,Alternativet,eco,Green/Ecologist,2.5,2.5,1.8,6.5,,,,,,,,,21.0,19.0,2015,2010,2015
135,ESP,Spain,parliament,1977-06-15,34.52,166.0,350,UCD,UniÃ³n de Centro DemocrÃ¡tico,Union of the Democratic Centre,7.1,27,42,,,34.95,34.52,25.423333333333332,ESP,Spain,UCD,Union of the Democratic Centre,UniÃ³n de Centro DemocrÃ¡tico,Union de Centro Democratico,lib,Liberal,7.1,6.7,3.6,8.7,33430.0,,,1410.0,,,,,27.0,6.0,1977,1970,1975
902,ESP,Spain,parliament,1977-06-15,29.39,118.0,350,PSOE,Partido Socialista Obrero EspaÃ±ol,Spanish Socialist Workers Party,3.7377,27,42,,,48.34,38.0,35.52846153846154,ESP,Spain,PSOE,Spanish Socialist Workers Party,Partido Socialista Obrero EspaÃ±ol,Partido Socialista Obrero Espanol,soc,Social democracy,3.7377,4.0098,3.0399,9.129,33320.0,275.0,1724320.0,1405.0,3603.0,501.0,7820.0,501.0,27.0,11.0,1977,1970,1975
